x	y
92	-64
62	-83
137	89
-70	-87
-88	91
82	-40
135	-42
-94	-27
-175	-14
162	-50
-296	-173
100	-85
-197	67
-340	29
140	79
43	-81
212	-66
-180	-37
-403	64
75	-24
72	191
-229	127
200	-66
-113	-3
86	-104
189	-11
-42	-139
255	-36
21	47
91	-108
210	-62
32	-104
225	-61
228	-18
151	-49
157	-55
256	8
216	-68
251	2
311	78
152	-76
108	25
182	-83
65	33
235	-52
302	30
160	-83
-22	-104
272	22
222	-29
101	56
-203	16
-130	169
-93	242
79	-27
69	-2
52	103
90	-14
44	102
121	27
255	8
17	33
60	-1
-37	-2
50	39
-104	125
-136	42
331	89
-276	-64
-158	123
-433	-167
159	-6
-459	-191
-559	-178
-90	143
94	237
-14	2
116	12
59	249
172	-43
120	-58
181	-28
-436	68
84	10
-332	39
203	-72
75	111
-63	263
230	-16
226	11
63	-40
201	-87
-7	-61
-5	12
70	194
-36	-115
-92	132
71	18
-301	-125
-35	-68
131	-73
102	41
172	102
233	-6
-251	73
-85	-15
234	68
-27	-101
314	89
241	4
231	-31
-71	-20
32	-37
199	-29
86	-103
-422	71
201	-84
164	0
64	-68
2	42
110	-12
97	-105
199	-69
-74	32
0	0
-114	78
148	-8
18	86
5	34
190	-66
-114	4
-79	-57
-246	125
-52	81
-38	-133
253	12
-331	39
-116	-6
-447	96
43	-115
-691	115
101	-24
-610	24
60	18
100	42
30	-80
-441	-180
131	-38
-168	112
-62	-134
108	-100
108	16
-71	-81
-32	-18
103	-24
226	37
-329	70
113	123
167	-50
-175	41
-130	196
95	-46
152	-24
85	-21
123	-30
97	-54
163	-51
-237	69
-286	-96
226	54
-188	-99
112	78
45	-110
260	1
-88	-127
-147	121
56	-28
19	107
293	47
223	2
-126	116
17	-88
197	-64
242	-43
246	-20
-116	-101
31	-83
-98	85
-437	24
90	-25
206	-45
73	-26
184	-64
233	-45
207	-27
177	-87
232	75
47	-78
64	37
309	34
76	-45
65	65
-131	-2
57	-107
-10	142
-88	94
-119	41
-45	16
-39	159
-181	-9
69	-30
154	-23
142	-10
-364	2
-129	44
61	-47
-214	31
235	2
214	30
-8	16
129	-39
-132	-149
-226	121
-237	28
172	-62
65	-94
128	67
49	-60
2	17
118	35
28	69
-378	134
-297	-42
4	-119
200	74
-6	-105
200	-64
-289	-144
156	-44
8	-17
-120	-3
-85	100
106	-16
174	124
-264	75
-378	134
155	-20
189	-91
-350	-93
-449	-186
-170	-135
197	-73
139	-48
-536	-195
47	6
-69	94
-59	276
167	-20
-60	-12
-405	168
-198	-89
117	66
48	-103
162	84
-122	-178
-488	-191
111	-21
84	-87
-12	127
216	-64
217	-14
113	32
-253	-156
-98	-87
198	-42
226	-6
208	68
-83	-51
-4	10
-124	-112
134	-31
-23	-80
-142	-92
-93	13
-179	84
228	87
39	-66
92	59
-272	23
-412	-191
-191	-133
-220	-44
-451	56
130	-88
-930	-258
-433	145
32	4
162	-31
42	-37
-463	20
-597	11
199	-46
